Num,ActualMax,ActualMean,ActualMin,City,Date
0,63,44,26,bloemfontein,6/14/2010
1,55,40,25,bloemfontein,6/17/2010
2,63,43,23,bloemfontein,6/20/2010
3,66,46,25,bloemfontein,6/22/2010
4,73,48,23,bloemfontein,6/25/2010
5,73,48,24,bloemfontein,6/27/2010
6,67,52,37,cape-town,6/11/2010
7,54,50,46,cape-town,6/14/2010
8,72,54,36,cape-town,6/18/2010
9,58,52,46,cape-town,6/21/2010
10,66,58,50,cape-town,6/24/2010
11,59,55,50,cape-town,6/29/2010
12,61,54,46,cape-town,7/3/2010
13,59,55,46,cape-town,7/6/2010
14,76,58,57,durban,6/13/2010
15,70,54,39,durban,6/16/2010
16,73,60,47,durban,6/19/2010
17,73,72,68,durban,6/22/2010
18,83,66,48,durban,6/25/2010
19,72,66,59,durban,6/28/2010
20,67,64,60,durban,7/7/2010
21,59,52,46,johannesburg,6/11/2010
22,62,53,44,johannesburg,6/12/2010
23,64,52,41,johannesburg,6/14/2010
24,42,38,32,johannesburg,6/15/2010
25,52,36,20,johannesburg,6/17/2010
26,56,42,29,johannesburg,6/18/2010
27,61,48,35,johannesburg,6/20/2010
28,62,50,37,johannesburg,6/21/2010
29,61,50,40,johannesburg,6/23/2010
30,64,48,32,johannesburg,6/24/2010
31,68,54,39,johannesburg,6/27/2010
32,58,47,36,johannesburg,6/28/2010
33,63,53,43,johannesburg,7/11/2010
34,61,51,41,johannesburg,7/2/2010
35,61,52,42,johannesburg,7/3/2010
36,74,57,40,polokwane,6/13/2010
37,59,46,32,polokwane,6/17/2010
38,71,52,34,polokwane,6/22/2010
39,68,54,39,polokwane,6/24/2010
40,69,55,41,port-elizabeth,6/12/2010
41,54,50,45,port-elizabeth,6/15/2010
42,71,54,38,port-elizabeth,6/18/2010
43,78,59,40,port-elizabeth,6/21/2010
44,67,57,47,port-elizabeth,6/23/2010
45,66,54,42,port-elizabeth,6/26/2010
46,65,58,50,port-elizabeth,7/10/2010
47,84,64,45,port-elizabeth,7/2/2010
48,70,57,44,pretoria,6/13/2010
49,55,44,33,pretoria,6/16/2010
50,60,46,33,pretoria,6/19/2010
51,66,50,36,pretoria,6/23/2010
52,71,52,36,pretoria,6/25/2010
53,64,58,52,pretoria,6/29/2010
54,63,60,43,nelspruit,6/16/2010
55,69,68,44,nelspruit,6/20/2010
56,69,59,45,nelspruit,6/23/2010
57,73,71,49,nelspruit,6/25/2010
58,NA,57,NA,rustenburg,6/12/2010
59,NA,43,NA,rustenburg,6/15/2010
60,NA,56,NA,rustenburg,6/19/2010
61,NA,66,NA,rustenburg,6/22/2010
62,NA,54,NA,rustenburg,6/24/2010
63,NA,57,NA,rustenburg,6/26/2010
0,86,75,64,berlin,6/13/2006
1,82,74,66,berlin,6/15/2006
2,84,74,64,berlin,6/20/2006
3,69,61,53,berlin,6/23/2006
4,68,62,57,berlin,6/30/2006
5,86,74,62,berlin,7/9/2006
6,80,70,61,cologne,6/11/2006
7,73,60,46,cologne,6/17/2006
8,77,69,61,cologne,6/20/2006
9,69,58,48,cologne,6/23/2006
10,77,70,63,cologne,6/26/2006
11,78,66,53,dortmund,6/10/2006
12,77,70,64,dortmund,6/14/2006
13,77,70,64,dortmund,6/19/2006
14,62,56,51,dortmund,6/22/2006
15,62,60,57,dortmund,6/27/2006
16,87,73,59,dortmund,7/4/2006
17,80,66,51,frankfurt,6/10/2006
18,88,72,55,frankfurt,6/13/2006
19,77,64,50,frankfurt,6/17/2006
20,80,74,67,frankfurt,6/21/2006
21,82,70,59,frankfurt,7/1/2006
22,87,71,55,gelsenkirchen,6/12/2006
23,64,58,51,gelsenkirchen,6/16/2006
24,69,64,57,gelsenkirchen,6/21/2006
25,78,64,51,gelsenkirchen,6/9/2006
26,84,72,59,gelsenkirchen,7/1/2006
27,76,62,49,hamburg,6/10/2006
28,73,64,54,hamburg,6/15/2006
29,85,72,60,hamburg,6/19/2006
30,67,60,53,hamburg,6/22/2006
31,71,60,48,hamburg,6/30/2006
32,82,68,54,hanover,6/12/2006
33,62,58,55,hanover,6/16/2006
34,78,70,62,hanover,6/20/2006
35,69,60,51,hanover,6/23/2006
36,68,63,58,hanover,6/27/2006
37,84,68,53,kaiserslautern,6/12/2006
63,NA,70,NA,kaiserslautern,6/17/2006
38,78,70,62,kaiserslautern,6/20/2006
39,73,60,46,kaiserslautern,6/23/2006
40,78,70,62,kaiserslautern,6/26/2006
41,75,62,48,leipzig,6/11/2006
42,85,71,57,leipzig,6/14/2006
43,76,64,52,leipzig,6/18/2006
44,84,74,65,leipzig,6/21/2006
45,79,66,53,leipzig,6/24/2006
46,83,68,52,munich,6/14/2006
47,80,69,58,munich,6/18/2006
48,85,74,64,munich,6/21/2006
49,81,69,57,munich,6/24/2006
50,69,54,40,munich,6/9/2006
51,85,72,59,munich,7/5/2006
52,74,60,47,nurnberg,6/11/2006
53,87,71,55,nurnberg,6/15/2006
54,84,66,48,nurnberg,6/18/2006
55,73,66,60,nurnberg,6/22/2006
56,88,74,59,nurnberg,6/25/2006
57,84,68,51,stuttgart,6/13/2006
58,81,71,61,stuttgart,6/16/2006
59,82,72,61,stuttgart,6/19/2006
60,71,64,57,stuttgart,6/22/2006
61,89,77,65,stuttgart,6/25/2006
62,74,67,60,stuttgart,7/8/2006
0,75,68,59,belo-horizonte,6/14/2014
1,78,66,53,belo-horizonte,6/17/2014
2,77,68,59,belo-horizonte,6/21/2014
3,77,65,53,belo-horizonte,6/24/2014
4,80,68,55,belo-horizonte,6/28/2014
5,77,68,59,belo-horizonte,7/8/2014
6,77,66,55,Brasilia,6/15/2014
7,81,72,63,Brasilia,6/19/2014
8,74,67,60,Brasilia,6/23/2014
9,80,67,54,Brasilia,6/26/2014
10,81,69,57,Brasilia,6/30/2014
11,79,68,58,Brasilia,7/12/2014
12,79,67,55,Brasilia,7/5/2014
13,91,80,69,cuiaba,6/13/2014
14,81,73,65,cuiaba,6/17/2014
15,88,75,62,cuiaba,6/21/2014
16,89,78,66,cuiaba,6/24/2014
17,73,65,57,curitiba,6/16/2014
18,57,52,48,curitiba,6/20/2014
19,71,62,53,curitiba,6/23/2014
20,73,65,57,curitiba,6/26/2014
21,86,80,75,fortaleza,6/14/2014
22,83,80,78,fortaleza,6/17/2014
23,86,81,76,fortaleza,6/21/2014
24,84,78,73,fortaleza,6/24/2014
25,85,80,75,fortaleza,6/29/2014
26,84,78,73,fortaleza,7/4/2014
27,88,82,75,manaus,6/14/2014
28,85,79,73,manaus,6/18/2014
29,87,81,75,manaus,6/22/2014
30,86,80,75,manaus,6/25/2014
31,78,76,73,natal,6/13/2014
32,84,78,72,natal,6/16/2014
33,83,78,74,natal,6/19/2014
34,82,76,71,natal,6/24/2014
35,68,62,57,porto-alegre,6/15/2014
36,60,56,50,porto-alegre,6/18/2014
37,72,57,42,porto-alegre,6/22/2014
38,71,66,62,porto-alegre,6/25/2014
39,59,58,56,porto-alegre,6/30/2014
40,79,75,71,Recife,6/14/2014
41,83,77,71,Recife,6/20/2014
42,82,78,75,Recife,6/23/2014
43,76,73,70,Recife,6/26/2014
44,83,78,72,Recife,6/29/2014
45,87,78,69,rio-de-janeiro,6/15/2014
46,86,78,69,rio-de-janeiro,6/18/2014
47,82,75,68,rio-de-janeiro,6/22/2014
48,84,75,66,rio-de-janeiro,6/25/2014
49,82,75,68,rio-de-janeiro,6/28/2014
50,84,74,63,rio-de-janeiro,7/13/2014
51,86,77,68,rio-de-janeiro,7/4/2014
52,84,78,71,salvador,6/13/2014
53,83,77,71,salvador,6/16/2014
54,82,77,72,salvador,6/20/2014
55,80,75,70,salvador,6/25/2014
56,81,76,70,salvador,7/1/2014
57,79,76,72,salvador,7/5/2014
58,78,72,67,sao-paulo,6/12/2014
59,79,74,66,sao-paulo,6/19/2014
60,79,74,68,sao-paulo,6/23/2014
61,72,70,67,sao-paulo,6/26/2014
62,80,71,62,sao-paulo,7/1/2014
63,78,71,64,sao-paulo,7/9/2014
